Resultados de Conversión (Decimal -> Binario, Hexadecimal)
============================================================
Archivo de entrada: P2\test\TC2.txt

DEC	BIN	HEX
7116776	11011001001011111101000	6C97E8
1666340	110010110110100100100	196D24
8886983	100001111001101011000111	879AC7
839365	11001100111011000101	CCEC5
924280	11100001101001111000	E1A78
1026310	11111010100100000110	FA906
1615293	110001010010110111101	18A5BD
1063875	100000011101111000011	103BC3
679035	10100101110001111011	A5C7B
5201970	10011110110000000110010	4F6032
593979	10010001000000111011	9103B
801371	11000011101001011011	C3A5B
3796878	1110011110111110001110	39EF8E
7489201	11100100100011010110001	7246B1
9740020	100101001001111011110100	949EF4
9128737	100010110100101100100001	8B4B21
5473463	10100111000010010110111	5384B7
8701957	100001001100100000000101	84C805
8238050	11111011011001111100010	7DB3E2
8679038	100001000110111001111110	846E7E
385912	1011110001101111000	5E378
5867340	10110011000011101001100	59874C
4894542	10010101010111101001110	4AAF4E
8999451	100010010101001000011011	89521B
4392535	10000110000011001010111	430657
2078131	111111011010110110011	1FB5B3
3070124	1011101101100010101100	2ED8AC
7451998	11100011011010101011110	71B55E
5635510	10101011111110110110110	55FDB6
1233932	100101101010000001100	12D40C
6089867	10111001110110010001011	5CEC8B
1792316	110110101100100111100	1B593C
6298637	11000000001110000001101	601C0D
2408038	1001001011111001100110	24BE66
8510100	100000011101101010010100	81DA94
991581	11110010000101011101	F215D
6455739	11000101000000110111011	6281BB
7829175	11101110111011010110111	7776B7
6328931	11000001001001001100011	609263
9982305	100110000101000101100001	985161
2292022	1000101111100100110110	22F936
1070496	100000101010110100000	1055A0
8518360	100000011111101011011000	81FAD8
6378470	11000010101001111100110	6153E6
7756258	11101100101100111100010	7659E2
7111767	11011001000010001010111	6C8457
2685897	1010001111101111001001	28FBC9
617946	10010110110111011010	96DDA
246280	111100001000001000	3C208
6075442	10111001011010000110010	5CB432
991323	11110010000001011011	F205B
6754202	11001110000111110011010	670F9A
3103178	1011110101100111001010	2F59CA
3228842	1100010100010010101010	3144AA
6786623	11001111000111000111111	678E3F
5329085	10100010101000010111101	5150BD
2334647	1000111001111110110111	239FB7
7253396	11011101010110110010100	6EAD94
6516953	11000110111000011011001	6370D9
5972725	10110110010001011110101	5B22F5
5828037	10110001110110111000101	58EDC5
6642265	11001010101101001011001	655A59
2559699	1001110000111011010011	270ED3
6597631	11001001010101111111111	64ABFF
5826202	10110001110011010011010	58E69A
4642335	10001101101011000011111	46D61F
1862900	111000110110011110100	1C6CF4
6039635	10111000010100001010011	5C2853
3358744	1100110100000000011000	334018
4965249	10010111100001110000001	4BC381
6621475	11001010000100100100011	650923
3336153	1100101110011111011001	32E7D9
1044743	11111111000100000111	FF107
6201477	10111101010000010000101	5EA085
6297100	11000000001011000001100	60160C
885678	11011000001110101110	D83AE
8546891	100000100110101001001011	826A4B
6683923	11001011111110100010011	65FD13
7064472	11010111100101110011000	6BCB98
3430021	1101000101011010000101	345685
9764122	100101001111110100011010	94FD1A
9958605	100101111111010011001101	97F4CD
1006022	11110101100111000110	F59C6
5276496	10100001000001101010000	508350
8876232	100001110111000011001000	8770C8
3364648	1100110101011100101000	335728
3539979	1101100000010000001011	36040B
3003857	1011011101010111010001	2DD5D1
4481634	10001000110001001100010	446262
9035781	100010011110000000000101	89E005
3767021	1110010111101011101101	397AED
4993901	10011000011001101101101	4C336D
8698377	100001001011101000001001	84BA09
4626501	10001101001100001000101	469845
1755352	110101100100011011000	1AC8D8
2755340	1010100000101100001100	2A0B0C
5150616	10011101001011110011000	4E9798
9345169	100011101001100010010001	8E9891
848948	11001111010000110100	CF434
2708748	1010010101010100001100	29550C
8372451	11111111100000011100011	7FC0E3
3523015	1101011100000111000111	35C1C7
2624283	1010000000101100011011	280B1B
8795348	100001100011010011010100	8634D4
2318100	1000110101111100010100	235F14
4750861	10010000111111000001101	487E0D
3770597	1110011000100011100101	3988E5
1053352	100000001001010101000	1012A8
833307	11001011011100011011	CB71B
4632526	10001101010111111001110	46AFCE
2212917	1000011100010000110101	21C435
5053189	10011010001101100000101	4D1B05
412218	1100100101000111010	64A3A
4901564	10010101100101010111100	4ACABC
5094606	10011011011110011001110	4DBCCE
8070285	11110110010010010001101	7B248D
6847905	11010000111110110100001	687DA1
4311824	10000011100101100010000	41CB10
3009421	1011011110101110001101	2DEB8D
1629105	110001101101110110001	18DBB1
8431899	100000001010100100011011	80A91B
7582456	11100111011001011111000	73B2F8
7332147	11011111110000100110011	6FE133
314183	1001100101101000111	4CB47
7632568	11101000111011010111000	7476B8
8161327	11111001000100000101111	7C882F
6961087	11010100011011110111111	6A37BF
6898282	11010010100001001101010	69426A
9749303	100101001100001100110111	94C337
4427419	10000111000111010011011	438E9B
4368829	10000101010100110111101	42A9BD
6439318	11000100100000110010110	624196
6473603	11000101100011110000011	62C783
6446249	11000100101110010101001	625CA9
9818836	100101011101001011010100	95D2D4
9438069	100100000000001101110101	900375
2809499	1010101101111010011011	2ADE9B
3460304	1101001100110011010000	34CCD0
8430904	100000001010010100111000	80A538
9774785	100101010010011011000001	9526C1
9560603	100100011110001000011011	91E21B
3440732	1101001000000001011100	34805C
7053263	11010111001111111001111	6B9FCF
287398	1000110001010100110	462A6
4043644	1111011011001101111100	3DB37C
2943820	1011001110101101001100	2CEB4C
9030962	100010011100110100110010	89CD32
7537540	11100110000001110000100	730384
7203657	11011011110101101001001	6DEB49
5639400	10101100000110011101000	560CE8
9448142	100100000010101011001110	902ACE
9954392	100101111110010001011000	97E458
2856859	1010111001011110011011	2B979B
1332118	101000101001110010110	145396
6984725	11010101001010000010101	6A9415
1925762	111010110001010000010	1D6282
2138171	1000001010000000111011	20A03B
347447	1010100110100110111	54D37
8839390	100001101110000011011110	86E0DE
3951652	1111000100110000100100	3C4C24
3755102	1110010100110001011110	394C5E
6867687	11010001100101011100111	68CAE7
4383175	10000101110000111000111	42E1C7
7125508	11011001011101000000100	6CBA04
7799732	11101110000001110110100	7703B4
8784156	100001100000100100011100	86091C
1372809	101001111001010001001	14F289
1327984	101000100001101110000	144370
9205087	100011000111010101011111	8C755F
6524241	11000111000110101010001	638D51
9316072	100011100010011011101000	8E26E8
127744	11111001100000000	1F300
8388820	100000000000000011010100	8000D4
6883557	11010010000100011100101	6908E5
2291239	1000101111011000100111	22F627
3101270	1011110101001001010110	2F5256
1382825	101010001100110101001	1519A9
9873376	100101101010011111100000	96A7E0
6873500	11010001110000110011100	68E19C
8185634	11111001110011100100010	7CE722
2464786	1001011001110000010010	259C12
8387154	11111111111101001010010	7FFA52
