Resultados de Conversión (Decimal -> Binario, Hexadecimal)
============================================================
Archivo de entrada: P2\test\TC3.txt

DEC	BIN	HEX
-39	1111011001	FFFFFFFFD9
-36	1111011100	FFFFFFFFDC
8	1000	8
34	100010	22
17	10001	11
49	110001	31
5	101	5
39	100111	27
0	0	0
33	100001	21
12	1100	C
-6	1111111010	FFFFFFFFFA
27	11011	1B
-4	1111111100	FFFFFFFFFC
-38	1111011010	FFFFFFFFDA
26	11010	1A
49	110001	31
29	11101	1D
42	101010	2A
-16	1111110000	FFFFFFFFF0
-28	1111100100	FFFFFFFFE4
34	100010	22
20	10100	14
0	0	0
25	11001	19
45	101101	2D
3	11	3
-46	1111010010	FFFFFFFFD2
-46	1111010010	FFFFFFFFD2
29	11101	1D
33	100001	21
29	11101	1D
26	11010	1A
-5	1111111011	FFFFFFFFFB
-36	1111011100	FFFFFFFFDC
12	1100	C
45	101101	2D
-50	1111001110	FFFFFFFFCE
0	0	0
-6	1111111010	FFFFFFFFFA
-39	1111011001	FFFFFFFFD9
35	100011	23
26	11010	1A
-35	1111011101	FFFFFFFFDD
-42	1111010110	FFFFFFFFD6
14	1110	E
-3	1111111101	FFFFFFFFFD
22	10110	16
-47	1111010001	FFFFFFFFD1
12	1100	C
-17	1111101111	FFFFFFFFEF
-31	1111100001	FFFFFFFFE1
-25	1111100111	FFFFFFFFE7
-35	1111011101	FFFFFFFFDD
-18	1111101110	FFFFFFFFEE
14	1110	E
37	100101	25
-8	1111111000	FFFFFFFFF8
-41	1111010111	FFFFFFFFD7
-50	1111001110	FFFFFFFFCE
-9	1111110111	FFFFFFFFF7
2	10	2
12	1100	C
-39	1111011001	FFFFFFFFD9
-17	1111101111	FFFFFFFFEF
0	0	0
27	11011	1B
28	11100	1C
45	101101	2D
-44	1111010100	FFFFFFFFD4
28	11100	1C
35	100011	23
-33	1111011111	FFFFFFFFDF
43	101011	2B
-4	1111111100	FFFFFFFFFC
23	10111	17
-49	1111001111	FFFFFFFFCF
49	110001	31
-7	1111111001	FFFFFFFFF9
-38	1111011010	FFFFFFFFDA
-45	1111010011	FFFFFFFFD3
5	101	5
-21	1111101011	FFFFFFFFEB
26	11010	1A
-2	1111111110	FFFFFFFFFE
-24	1111101000	FFFFFFFFE8
6	110	6
-45	1111010011	FFFFFFFFD3
-4	1111111100	FFFFFFFFFC
15	1111	F
0	0	0
-17	1111101111	FFFFFFFFEF
-35	1111011101	FFFFFFFFDD
43	101011	2B
45	101101	2D
-35	1111011101	FFFFFFFFDD
-8	1111111000	FFFFFFFFF8
28	11100	1C
47	101111	2F
34	100010	22
-24	1111101000	FFFFFFFFE8
-42	1111010110	FFFFFFFFD6
-13	1111110011	FFFFFFFFF3
14	1110	E
-45	1111010011	FFFFFFFFD3
-35	1111011101	FFFFFFFFDD
27	11011	1B
-12	1111110100	FFFFFFFFF4
-19	1111101101	FFFFFFFFED
-20	1111101100	FFFFFFFFEC
-14	1111110010	FFFFFFFFF2
20	10100	14
30	11110	1E
12	1100	C
-36	1111011100	FFFFFFFFDC
-47	1111010001	FFFFFFFFD1
-27	1111100101	FFFFFFFFE5
-3	1111111101	FFFFFFFFFD
6	110	6
36	100100	24
9	1001	9
-16	1111110000	FFFFFFFFF0
36	100100	24
-27	1111100101	FFFFFFFFE5
7	111	7
-6	1111111010	FFFFFFFFFA
-5	1111111011	FFFFFFFFFB
5	101	5
47	101111	2F
23	10111	17
-48	1111010000	FFFFFFFFD0
-24	1111101000	FFFFFFFFE8
40	101000	28
-4	1111111100	FFFFFFFFFC
-18	1111101110	FFFFFFFFEE
-19	1111101101	FFFFFFFFED
14	1110	E
15	1111	F
1	1	1
24	11000	18
-9	1111110111	FFFFFFFFF7
-50	1111001110	FFFFFFFFCE
18	10010	12
15	1111	F
30	11110	1E
44	101100	2C
9	1001	9
19	10011	13
33	100001	21
41	101001	29
-24	1111101000	FFFFFFFFE8
43	101011	2B
48	110000	30
-23	1111101001	FFFFFFFFE9
7	111	7
28	11100	1C
8	1000	8
-2	1111111110	FFFFFFFFFE
37	100101	25
42	101010	2A
-17	1111101111	FFFFFFFFEF
-6	1111111010	FFFFFFFFFA
36	100100	24
22	10110	16
27	11011	1B
31	11111	1F
-47	1111010001	FFFFFFFFD1
-43	1111010101	FFFFFFFFD5
0	0	0
27	11011	1B
30	11110	1E
12	1100	C
-15	1111110001	FFFFFFFFF1
-19	1111101101	FFFFFFFFED
-42	1111010110	FFFFFFFFD6
-37	1111011011	FFFFFFFFDB
31	11111	1F
-10	1111110110	FFFFFFFFF6
18	10010	12
33	100001	21
-15	1111110001	FFFFFFFFF1
17	10001	11
25	11001	19
-25	1111100111	FFFFFFFFE7
-5	1111111011	FFFFFFFFFB
33	100001	21
-13	1111110011	FFFFFFFFF3
33	100001	21
-10	1111110110	FFFFFFFFF6
47	101111	2F
47	101111	2F
-13	1111110011	FFFFFFFFF3
-32	1111100000	FFFFFFFFE0
1	1	1
1	1	1
-25	1111100111	FFFFFFFFE7
-33	1111011111	FFFFFFFFDF
16	10000	10
17	10001	11
4	100	4

Elementos válidos: 200
Elementos inválidos: 0
Tiempo transcurrido (segundos): 0.002788
